content,score
Belanja mudah dan gratis ongkir 😍🤩👍,5
"saya akan tambah 5 star kalo ada fitur COD (Cash On Delivery) si biru udh ada fitur COD, Alfamart kapan nih? Gw tim Alfamart nungguin fitur COD, minta di bantu ya",4
"Mau daftar tp GK bisa ,ini gimana si. I don't like Alfamart, ashyuuu",1
bisa cepat,5
"tolong bug di top up e wallet diselesaikan dikarenakan saya sering menggunakan fitur ini, bug nya selalu loading ketika membuka top up e wallet, tapi ketika saya ingin membeli pulsa itu normal saja",1
terima kasih,5
"ini kesekalian kali nya kalau pesen tuh bisa berjam-jam, padahan pesan yg langsung di antar bukan yg pilihan jam lalu pesanan dikirim tapi 1 jam lebih ga sampai-sampai. ini ngirim nya dari luar kota??? tolong dong pihal alfa lebih tegas lagi untuk karyawan yg malas-malas cari karyawan yg dedikasi tinggi terakhir kali deh pesen di alfa mending aplikasi sebelah!",1
sangat membantu,5
gajelas mau bikin member loading trus gjadi dah,1
mantap 👍 sangat membantu,5
Alfa gift sering FC kalau di buka min,3
"sudah dua kali saya dikecewakan,tapi semalam yang paling parah,saya pesan air galon dari jam 18.43 sampai sekarang belum ada,tanpa adanya konfirmasi apa pun,seharusnya kalau memang tidak dapat dikirimkan paling tidak beritahu,ini sama sekali tidak jelas,padahal yang saya kirim sesuatu yang sangat penting",1
pelayanan buruk,1
"Walaupun fitur aplikasi bagus bagus tetapi kenapa jika saya ingin melihat struk di aplikasi loadingnya lama sekali padahal device saya bagus dan sinyal bagus buka aplikasi lain seperti tiktok YouTube dll lancar , tpi jika buka menu pesanan dan ingin melihat struk malah loading udh di tunggu bbrp menit ttp ga muncul ini ada bug kah diaplikasinya?",5
"recommend buat yg mager belanja kebutuhan pokok, tinggal tf bayar tunggu 30mnt an dh sampe alamat. mantap",5
kenapa presensi hrs di aplikasi cacad sihh,1
enggak tau karna apa akun tiba² suruh daftar/masuk lagi udah tak masukin eh malah gagal login karna akun sudah ditutup maksudnya gimana coba?,1
gak bisa dibuka di pixel 6,1
sangat bagus terima kasih,5
tidak bisa cod jadinya susah,3
beli pulsa gagal uangnya ga balik balik urgent mau beli pulsa malah kalo lebih batas waktu di jadiin poin udah gila bli pulsa juga ga bisa pake poin apk nyeleneh,1
"Lebih bagus kalau ada tombol batalin,buat kalau misal salah milih produk tapi udah terlanjur bayar",4
"saya suka dgn apk nya, tapi tolong chat saya dibales ya karena chat saya cmn dibaca doang sama admin nya,pas saya nanya cmn diliat doang jdi saya gatau harus ngapain biar bs refund. terimakasih 🙏",2
jelek gabisa buat android 15-16,1
apk alergi sm apk tools pdhl cmn MT manager tpi ni apk gk bisa di buka,1
"pengiriman lamaa,pesan dari jam 19.50 udah jam 22.30 gak sampe"",chat cs kirain ngebantu malah GK di balas"" 👎👎",1
lawak,1
"lemot banyak bug,di update malah gajelas jadinya",2
kok ketika dibuka ada keterangan terdeteksi happymod kode 70007 dan banyak yang telfon mengatasnamakan pihak Alfa bagi bagi hadiah.,1
"Barangnya di-update lebih banyak lagi biar belanja makin seneng🥰 trs harga produk tolong jangan dinaik""in ya",4
"ga amanah beli varian ini di kasih varian lain ga amanah udah komplain malah bilangnya karena buru2 karna udah sampe ga mau nuker bilangnya jauh, padahal Alfamart lain kalo habis konfirmasi ini Alfamart majapura Purbalingga malah gada konfirmasi apapun batiba bilang habis trs bilang ga kebawa ga jelas alasannya. padahal kalo langsung terus terang aja lupa dan minta maaf saya terima ini malah g jelas alasannya",1
saya senang belanja disini sebab pelayannya ramah dan bisa dimintai tolong buat ambil atm karena saya suka salah pencet dan mereka selalu bantu,5
"punya star banyak ditukarkan kupon gak ada tuh menang ,,,alias nipu kle ,,, udh besok MH males tuker2x star jadi kupon ,buat narik CS doank ,hadianya mah Hoax dan ribet",1
kurang satset dari pelayanan chat nya,3
gagal login Mulu solusi nya gimana?,2
buruk.. ga bs login,1
kok gak bisa masuk ya. selalu keluar,1
"terimakasih alfagift makin keren , udh berkali2 belanja pake apk ini cepet respon dan kurir nya , ga kaya yg sebelah tuh pegel bgt nungguin . pokoknya mantaapppp",5
Baguslah banyak promo.,3
"aplikasi ga jelas, masa tiba- tiba akun saya d tutup JD ga bisa d buka, minta tolong SM kasir Alfa ny SM ja dia ga tau, payah lah 😒",2
klo lupa password gimana ya,5
"saya sudah 3 tahun menggunakan layanan alfagift yang diantar kurir, tetapi tbtb saja layanan ini tdk bsa saya gunakan untuk mengirim ke kos saya, ketika saya ingin menggunakan alamat kos malah muncul kata² "" Alamat tdk tercover layanan pengiriman kami "" apa cba kalian ini, tolong diperbaiki. mksh",1
"pulsa g masuk, saldo ga di kembalikan wkwkwk",1
"gimana mau daftar orang kode otp aja gk gw terima, mau lewat whatsap lewat sms gk di kirim kirim",1
pantapppp,5
"kumpulan koin , gak guna mau di tuker haru pakai kode rendem?? Binggung kapan bikin gua kode kode nya apah ? udh ngantri akhirnya GK jadi",1
proses pengiriman terlalu lama dan kita chat tidak di respon padahal jelas-jelas online..!!!!,1
jangan pesan lewat sini ehh lama ndk ada respon,1
"aplikasi apa.ini , di bikin emosi , pengantaran lama pegawai lelet semua aja di undur undur di pikir orang gak punya kegiatan lain apa , sampe harus nunggu terus , terus aja nunggu",1
alhamdulillah,5
"sudah ok ,tapi pengantaran lama banget walaupun gratis ,waktu check out 1 jam setelah pemesanan ,tetapi dikirim sampai 3 jam lebih",5
Belanja cepat,5
nggak bisa di buka,1
enak ya tapi pas masukin akun yang terulang ulang,5
lelet bgt padahal sinyal bagus,3
"Tidak bisa daftar, ketika check syarat ketentuan tidak bisa tekan simpan. tombol sudah merah dan pop up muncul secepat kilat lalu tidak muncul lagi.",1
gak bisa di buka di android 16 ;( toloong dong,2
"good,mengutamakan pelayanan. tidak seperti apk klik indomart yg jelek bangt.",5
Tipu2 STAR GUNANYA UNTUK APA YA? DI KUMPULKAN WAKTU MAU DI TUKAR GA CUKUP KAYANYA PADAHAL STAR LEBIH DARI CUKUP !! KALO BUAT PROGRAM YANG AMANAH DONG !!,1
"Saya pelanggan setia alfagift, tapi mohon maaf dengan sangat, pelayananya sekarang lama, request pengiriman 1 jam setelah pembayaran, setelah 2 jam menunggu jangankan dikirim, diprosespun belum, Alfamart wilayah Losari Timur, Brebes, Jateng. saya akan naikkan ratingnya menjadi 5 bila diproses lebih lanjut. terima kasih",1
"Aplikasi bug, pas saya daftar untuk pertama kali dan saya masukan nomor WhatsApp saya saat verifikasi malah ngestuck, padahal jaringan lancar jaya aneh nih aplikasi",1
"ini gimana si aplikasi nya, mau ubah password pake kode verifikasi ga muncul2 juga kode nya, padahal udah ada pulsa kuota apa masalah nya coba. udah dari kapan tau permasalahan nya ini mulu jadi gabisa pake point di member card nya percuma dong",1
stok kosong namun bisa di pesan. mana ngajuin pengembalian dana gak balik2 uangnya.harus tlfn cs dlu.ribet,1
TOLONG BANGET INIMA TOLONG pelayanan alfagift enak banget dan andalan banget. tapi tolong dong alamat udah lengkap nama penerima udah ada nomor juga lengkap tapi kenapa masih aja minta nomor hp atau wa di fitur pesan aplikasi. kadang notif nya itu lohh ga terbacaaaaaaaa dan jadi gabisa kirim buat alamat lain karna konfirm jadi dua kali. apa nomor wa ga muncul di alamat pesanan yang tertera di aplikasi ??,4
mantap,5
"Belanja jarak dekat, Gratis Ongkir tinggal klik datang",5
Makis,5
aplikasinya baru dibuka kok keluar lagi masa tutup mau lebaran,5
"sudah beberapa bulan g bisa dibuka karena tdk ada gambar,selalu ada pemberitahuan,syarat dan ketentuan berlaku ,tp syaratnya apa g tau karena layarnya putih semua,alias g ada tulisan apa2 dan tdk ada gambar",1
"Bikin nyesek, Salah beli karna Barang sama Plat harganya gk sesuai, dikira harga 17,500 , pas bayar malah mbok jedug 60.000 , Padahal masih dj tokonya, tapi Minta di tukar kata kasir gk bisa, sudah keluar struk 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️ , PARAH",2
"pengiriman lama, kurir erorr..",1
